uuid,item_id,timestamp,price,url,color,title,is_new
H082608CK3I1715931967,H082608CK3I,1715931967,12380,/au/en/product/lindy-mini-bag-H082608CK3I/,Green,Lindy mini bag,1
H078971CCAA1715931967,H078971CCAA,1715931967,4870,/au/en/product/herbag-zip-31-bag-H078971CCAA/,Black,Herbag Zip 31 bag,1
H073611CK8U1715931967,H073611CK8U,1715931967,23910,/au/en/product/roulis-mini-bag-H073611CK8U/,Blue,Roulis mini bag,0
H078595CKAA1715931967,H078595CKAA,1715931967,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,0
H083618CKAC1715931967,H083618CKAC,1715931967,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,0
H083618CKAB1715931967,H083618CKAB,1715931967,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,0
H083894CAAG1715931967,H083894CAAG,1715931967,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,0
H084235CK631715931967,H084235CK63,1715931967,14705,/au/en/product/picotin-lock-micro-bag-H084235CK63/,Green,Picotin Lock micro bag,1
H085078CKAA1715931967,H085078CKAA,1715931967,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,0
H056289CC0W1715931967,H056289CC0W,1715931967,5270,/au/en/product/picotin-lock-18-bag-H056289CC0W/,Grey,Picotin Lock 18 bag,1
H085078CKAA1715932567,H085078CKAA,1715932567,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1
H084235CK631715932567,H084235CK63,1715932567,14705,/au/en/product/picotin-lock-micro-bag-H084235CK63/,Green,Picotin Lock micro bag,0
H078595CKAA1715932567,H078595CKAA,1715932567,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1
H083618CKAC1715932567,H083618CKAC,1715932567,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1
H073611CK8U1715932567,H073611CK8U,1715932567,23910,/au/en/product/roulis-mini-bag-H073611CK8U/,Blue,Roulis mini bag,1
H082924CAAD1715932567,H082924CAAD,1715932567,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1
H083894CAAG1715932567,H083894CAAG,1715932567,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1
H083618CKAB1715932567,H083618CKAB,1715932567,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1
