uuid,item_id,timestamp,price,url,color,title,is_new,date
H078595CKAA1716855367,H078595CKAA,1716855367,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1,2024-05-28
H073428CK0X1716855367,H073428CK0X,1716855367,13860,/au/en/product/lindy-26-bag-H073428CK0X/,Orange,Lindy 26 bag,1,2024-05-28
H073428CK181716855367,H073428CK18,1716855367,13860,/au/en/product/lindy-26-bag-H073428CK18/,Beige/Natural,Lindy 26 bag,1,2024-05-28
H077913CC461716855367,H077913CC46,1716855367,5925,/au/en/product/picotin-lock-18-bag-H077913CC46/,Brown,Picotin Lock 18 bag,1,2024-05-28
H083618CKAB1716855367,H083618CKAB,1716855367,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1,2024-05-28
H083618CKAC1716855367,H083618CKAC,1716855367,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1,2024-05-28
H073428CK081716855367,H073428CK08,1716855367,13860,/au/en/product/lindy-26-bag-H073428CK08/,Blue,Lindy 26 bag,1,2024-05-28
H073428CCI21716855367,H073428CCI2,1716855367,13860,/au/en/product/lindy-26-bag-H073428CCI2/,White,Lindy 26 bag,1,2024-05-28
H082924CAAD1716855367,H082924CAAD,1716855367,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1,2024-05-28
H083894CAAG1716855367,H083894CAAG,1716855367,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1,2024-05-28
H082268CKBK1716856567,H082268CKBK,1716856567,4870,/au/en/product/herbag-zip-31-retourne-verso-bag-H082268CKBK/,Blue,Herbag Zip 31 retourne verso bag,1,2024-05-28
H069426CKBF1716856567,H069426CKBF,1716856567,3515,/au/en/product/evelyne-16-amazone-bag-H069426CKBF/,Grey,Evelyne 16 Amazone bag,1,2024-05-28
H069426CCCI1716856567,H069426CCCI,1716856567,3515,/au/en/product/evelyne-16-amazone-bag-H069426CCCI/,Beige/Natural,Evelyne 16 Amazone bag,1,2024-05-28
H069426CCAM1716856567,H069426CCAM,1716856567,3515,/au/en/product/evelyne-16-amazone-bag-H069426CCAM/,Brown,Evelyne 16 Amazone bag,1,2024-05-28
H069426CKEE1716856567,H069426CKEE,1716856567,3515,/au/en/product/evelyne-16-amazone-bag-H069426CKEE/,Beige/Natural,Evelyne 16 Amazone bag,1,2024-05-28
H069426CCEB1716856567,H069426CCEB,1716856567,3515,/au/en/product/evelyne-16-amazone-bag-H069426CCEB/,Blue,Evelyne 16 Amazone bag,1,2024-05-28
H069426CCDS1716856567,H069426CCDS,1716856567,3515,/au/en/product/evelyne-16-amazone-bag-H069426CCDS/,Blue,Evelyne 16 Amazone bag,1,2024-05-28
H079092CKAI1716856567,H079092CKAI,1716856567,4870,/au/en/product/herbag-zip-31-bag-H079092CKAI/,Black,Herbag Zip 31 bag,1,2024-05-28
H079092CKAK1716856567,H079092CKAK,1716856567,4870,/au/en/product/herbag-zip-31-bag-H079092CKAK/,Beige/Natural,Herbag Zip 31 bag,1,2024-05-28
H073428CK4B1716857767,H073428CK4B,1716857767,13860,/au/en/product/lindy-26-bag-H073428CK4B/,Beige/Natural,Lindy 26 bag,1,2024-05-28
H082153CCBI1716883567,H082153CCBI,1716883567,15235,/au/en/product/2424-21-bag-H082153CCBI/,White,24/24 - 21 bag,1,2024-05-28
H070510CP371716883567,H070510CP37,1716883567,13440,/au/en/product/roulis-mini-bag-H070510CP37/,Brown,Roulis mini bag,1,2024-05-28
H083894CAAG1716941167,H083894CAAG,1716941167,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1,2024-05-29
H085078CKAA1716941167,H085078CKAA,1716941167,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1,2024-05-29
H083618CKAB1716941167,H083618CKAB,1716941167,7300,/au/en/product/steeple-25-bag-H083618CKAB/,Multi-colored,Steeple 25 bag,1,2024-05-29
H083618CKAC1716941167,H083618CKAC,1716941167,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1,2024-05-29
H082924CAAD1716941167,H082924CAAD,1716941167,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1,2024-05-29
